geneID	HS01	HS02	HS03	HS04	HS05	CL08	CL10	CL11	CL12	CL13
THSD4	5.197897815856535	4.997649530860996	4.8714981279909	5.1880150525324975	4.969064369043365	3.492234489564433	2.343851026888412	2.506482287254437	1.9213234268700174	3.3573596940992605
THY1	5.624750409385613	6.132998295089199	5.4956214842003765	6.145923287109024	4.701210301201615	8.438960226828701	9.003185356017532	7.588246620640913	7.342486473653917	7.383795639750976
TICAM2	1.1404677773778873	1.83629742983387	0.9974677611591416	1.19799500038281	1.1489556887065457	2.9562216197313065	3.77145725661839	4.364176826943075	4.261498989368935	4.202059505412588
TIFAB	0.4133280566544611	1.2357821223863836	0.10222340628131188	0.7346598579901706	2.1709961971632663	4.8412468852349315	4.796048950124572	4.504221993700379	4.933207911002944	5.440565691227119
TIGIT	-0.14077716520264538	-0.12354068551584484	0.19905849404930506	0.2880435117713258	0.17294184181288474	4.569843881037146	4.024198799607608	5.387691832249756	5.08784868913856	5.253377952591983
TIMP1	4.865591387581949	5.620718491751886	4.5790825186168	5.358842475490506	5.475298478202388	7.595768293733022	8.392195615447163	9.182904165111637	7.7391825138370915	8.071273954515194
TIMP3	8.264301509803847	9.439144342992655	9.349333061260166	9.266149268564556	9.125837285499347	7.2225363728058936	7.571285199443322	6.641855008977971	5.936509275321617	6.608226009424531
TIMP4	2.2854916291201253	5.1877041688050545	3.73888581711688	4.7645544269498865	5.005139163936175	-0.3263652037070732	0.4489511849655733	-0.32904563365657163	-0.2551467028234791	-1.3196604867146269
TINCR	6.06352867127064	6.073949410858472	5.448408564613213	6.29415081725168	6.283987827609075	3.3262114697850893	0.16866867373015196	0.6331088314956183	0.6051468718064413	2.6666956840231553
TJP3	3.2798064104069913	2.884324293061823	3.498113772581514	2.516604149570189	3.3704597425300986	1.777766794890747	-0.483612879450452	0.4498986846431856	0.6709171350102093	0.6860846763082318
TLDC2	-1.5833397131352047	0.2311856070814494	0.2586317298211834	-0.3724605478047423	-0.46378989716968494	0.764482482311706	2.505118578522499	2.2125676678524178	1.4599945760376505	2.5504557767969986
TLR1	3.241338365411512	3.669751207908187	3.8854146657629114	3.916157963732019	2.820005707555484	6.5814603939445835	7.118116799109478	7.451279131710183	7.500263512308165	7.216793408292262
TLR10	-0.27893472876360065	1.7691433978205906	0.3266731705434433	0.04266334229070918	-0.15702139571334908	2.7239174874189738	3.6262239608398974	4.782227957965765	4.231282436015734	3.944539072514413
TLR2	0.5458984905252635	0.8958973193216055	1.8215005246718048	-0.3191194511669	-2.1481247943804087	2.7642993823367585	4.84746174676003	5.543469668889072	4.732854299203508	4.796802006631772
TLR4	3.9519921666138855	5.462570476354693	5.6480758011149534	6.057981696850743	5.673859315111137	7.423747336708859	7.996002413425845	8.097939733645097	8.386675694789686	8.294647643331883
TLR7	1.4377373253019368	2.2597595288997843	1.8300530768752814	3.4608969314894447	1.900577373618454	5.0247419995769045	5.291837038636674	5.650696784094444	5.614351609809152	5.75184597093903
TLR8	0.37293233012361143	2.7427229449546906	1.8084723143240677	2.6148256591145427	2.3638040051404983	7.021477887436444	7.22822080416327	7.7602469787108515	7.771120497824052	8.229630842409748
TLR9	-1.9631326559766535	-1.7567962541322188	-1.2670951713316885	-1.1288923934409214	-2.1481247943804087	1.0267529457907667	0.6770085555652695	0.6695279395878019	1.0884390947624945	1.888015845890981
TM6SF1	1.3472077397324091	1.9380760281513436	1.6194775380741422	1.6926572442775616	1.93220710547507	4.175816076189105	4.161199308306135	4.3496109332930075	4.446397143724414	4.0867376148971815
TM7SF2	5.661398237157171	5.151532842917911	4.951974958724708	4.78442275942131	5.49210400460225	4.203016656368223	2.3692340551272437	1.962237063558795	1.7941591458609811	3.2769812222922896
TMC6	4.263460066926298	4.030078449865805	4.0906230520020275	4.290183803473126	3.7326059537446494	6.473932686592726	6.577977497476734	7.34739323851586	6.799124090193247	5.816589760950109
TMC8	1.3799218033124914	2.5645406172114646	2.4400483460445277	1.5967650710142938	3.0431507125789543	5.023045373581819	6.031758656213223	5.915777895227075	6.278700736536538	5.609463472622383
TMEM106A	1.7135906413772601	2.478205722209303	2.9629665832295484	2.872075652194774	2.6387561514408002	3.731436645397326	5.037749466388855	4.97125148148621	4.698351934787064	5.173625645799059
TMEM119	4.378737771916241	4.278993201913155	4.245814348867954	3.5791018013473743	5.297718019364944	7.3953322942002915	7.168353697822891	5.942227192113558	6.040970260299121	5.816877706637164
TMEM125	3.6349965858079214	3.44604540946877	3.0119227087945903	2.3880202384150357	4.06831515368781	3.2827830759470515	-1.681081377191823	0.5889494943721449	0.7980643755431585	1.0325077108599492
TMEM132A	3.4963372425366894	2.0996305979061094	2.651401812486298	1.6735065274193142	3.6165545141353768	5.002098854378898	5.806710370953202	5.2884724876114655	4.914406394174464	4.824626121471005
TMEM132B	3.5355803734831923	4.25722867390502	3.957031848959407	2.499765425559032	2.687044268031637	1.9295820148300291	-0.06711266122250296	0.5024103392678099	0.38774955363072877	0.1916604827057938
TMEM132C	2.518699434220549	4.07361157707362	3.552642856702451	4.525008415355414	4.239710307843608	-2.755583859530888	-0.16273807374905913	-2.300140632980424	-3.103810114725711	-0.8976844559146556
TMEM139	2.228628939393054	2.338160131466659	1.5947575078573293	1.9630783896317716	2.621569294405508	0.5375634422998838	-0.20079291880878025	0.3717814747408323	-0.42121811763010525	-1.2354516466288727
TMEM150B	-1.7713579904359502	-0.7786480142616391	-0.36049541005326435	0.22349791383511158	-0.08850732447937396	3.2097572605685984	3.4998726231862176	3.7353408396019474	3.879273753672649	3.679379456123754
TMEM154	7.57328135533497	7.712900141529031	7.547661077611486	7.453461238829534	6.8909306236302035	6.052467436085772	4.778841943093531	5.379504514851028	5.014193976308813	5.678175709454461
TMEM156	-0.5059916726981952	-1.365521655541654	0.5836797190834554	-0.470186698947155	-2.1481247943804087	2.208183180891613	2.5511431198850243	3.168588901358207	3.348428153122966	2.608977657145942
TMEM158	1.0115128592313285	0.6636400719413696	-0.32684986259061777	1.1575122597171028	0.8328062579036765	2.967831000768888	3.3731527054401065	3.744755926714814	3.8369552480596334	3.773988764627513
TMEM159	6.64027052187272	7.029937560757513	6.702304951745225	7.073804485625007	6.715907508928006	4.839131274383725	4.277819599345529	3.57794152759836	3.908796123051494	4.350615472015724
TMEM163	-1.9519739032177859	0.34788543771432384	-0.3774427803176022	-0.5033321098722574	-1.2462073053530993	3.1016635279938534	1.2769766456005593	2.606678864841414	2.612198513093177	1.756220470205333
TMEM176A	2.261473346175055	2.608910218181511	2.7970663802458224	2.276144846308778	3.656715535278423	6.594077017555314	6.242876533959716	5.618123356443188	5.899703289274593	6.413403502220111
TMEM176B	3.4928972325280743	4.155553224909024	3.7298706654252336	3.8136807849589465	4.937014892217803	8.297849695812966	7.910561411216027	7.43514628650109	7.890531571619185	8.129647299577194
TMEM178A	1.0609110150010352	0.30157180653167304	1.292958614879464	0.5372141553979185	1.3578604930840221	-2.006367915693314	-1.1151165419298212	-2.422464368122652	-2.4486818801669656	-1.234490585306604
TMEM206	2.3432316137458287	2.2551302552758696	2.032011086446357	2.639968474533068	3.225452383173936	4.665869977872251	4.463522653421038	4.841875987059377	4.779437526628678	4.330120328866436
TMEM213	5.286225080491255	3.344194695529659	3.9483582989777948	4.136959273990969	3.654656059087635	1.6921324552761408	1.0973751211808769	1.3140268749748063	1.3086422732930059	1.1451352740248342
TMEM229B	2.237214154727814	2.184330138988945	2.1501124493840886	2.045138050607746	1.4478838657844761	4.214981526028762	4.6791220576485495	4.983910866422263	5.3313438547629115	4.120643450205884
TMEM246	5.459894005332464	5.688437054351743	5.01575985904338	5.412437106089621	5.140515260089962	3.5673936050331636	1.166664836629175	1.077615550723914	1.1254582882554756	2.618531088177014
TMEM255A	2.749589321527817	2.4875099335030297	2.5276918546217546	2.393496846532642	1.007836824614221	1.1754494605738368	-0.23011962304319641	-0.3942987113364967	-1.0395786181353068	0.8024250769947705
TMEM26	-4.4886125252079205	-1.210145927317422	-2.225544301115662	-1.3614751698089993	-2.1481247943804087	1.4451856000898398	1.0582564907999472	0.36482339572094286	1.811114726578849	0.9804010917328717
TMEM35B	-3.207102592365317	2.314620183973094	0.8255077691997799	2.7903716727860997	-2.1481247943804087	3.6357092391381394	3.560197964744985	4.358004748977653	3.7502100158567035	4.243843168608523
TMEM45A	10.327069651330985	10.34790799493527	9.79465771155371	9.921754653804875	10.254631764781701	8.683890976731146	7.047944126211244	7.368838508489212	7.03369409341226	8.318482115956737
TMEM51	2.702384794493027	2.2662231840620404	2.0348654317573054	2.425339905129893	2.2332453628316897	4.799401902935469	4.215556003174553	4.329592745885092	4.406562320479559	4.849877142654406
TMEM56	4.788277197919984	4.6325848312960005	5.663892805928285	5.774298881740573	1.7871001634837218	1.6636616032395426	0.43004162326789397	1.768282675623428	2.5919408214385333	1.1020243053449585
TMEM71	-0.38313248488531737	1.07506515788085	0.2605545017770772	1.9539101300370547	0.9116947359296171	2.552809842113701	3.332535067576133	3.292339497476647	2.9122619004424015	3.1538138110165956
TMEM74	0.8643512722937313	1.5526645425288734	0.662927878678973	2.087057862134098	0.8328071694622916	-2.7555828754398566	-1.0321109294836344	-2.300138857664146	-1.8839244649351568	-0.8185899107781521
TMEM8A	3.326851916897214	3.1123799760611335	3.79484838816887	3.8877229677314085	4.772126678926978	5.751033557213813	5.899060072206548	6.353566698544397	6.161087548103581	5.471820017777795
TMIGD2	-1.872448790448379	-2.132656475694317	-0.8345700115066995	-2.559670053461586	-0.041760927667578024	1.8415060294304189	1.1317418875588663	1.2063486529964087	1.3712301916934961	1.0754931324349395
TMIGD3	-2.3505611974207663	-1.8735116034503554	-2.202685687079373	-1.637999657573379	0.4752700095113559	3.6022955935711574	1.1447847124464974	3.5331431396286024	1.7592444290887894	0.820271445136257
TMPRSS11D	0.6116356880710396	0.20036520585675704	0.5792141209117283	-0.34183105520574936	-0.5892849826453018	4.749313996854927	2.9585099105715735	1.9509940465440447	3.481092311461869	3.9020341016150697
TMPRSS11F	5.137631832820495	4.457456723092924	4.187799605119126	3.8843327570610238	2.5033484131510186	3.173786272902358	0.25891207654180226	1.6917861580772056	0.96054368284484	2.426690620850146
TMPRSS6	0.22808946849987904	0.34058179595599775	1.3673569745356131	1.0471620255173717	1.876243536423763	-1.526174266527267	-1.9189281393375062	-0.8665229040635587	-2.100637782657592	-0.4888848482853007
TMSB10	6.792967236075348	7.809512318313655	7.192127265222763	7.54859730587751	8.491629159114343	10.044183032640287	9.791948690843713	10.547000621511241	10.47917575477999	9.769652925360475
TNC	6.866420522455882	6.755981883827879	6.294973593691804	6.023159011958182	7.231010357427797	8.744417435291098	9.865843871853718	8.268173976946121	8.462600698406542	8.992535834715357
TNF	1.5728757625259095	0.6318606800315718	0.21931525020056236	0.7382247452800209	1.1445536163754961	3.386645955575111	3.5041472600845407	4.6615819935709	3.8661986204144276	3.6344120958118467
TNFAIP2	4.942107860991752	6.202435456896198	6.145709878190185	6.484945126119668	5.750618039689637	8.188014521014457	8.562987209070293	9.051367724646614	9.335800145231776	8.69908399179538
TNFAIP3	4.850693185782726	5.354274630283066	4.48321859811083	4.800697271241127	4.485951116547975	6.693578031894576	7.6082438018127005	7.931459310257986	7.553737423043703	7.780487614878986
TNFAIP6	-0.2846687448978598	2.0266230303213906	1.4254034267786229	3.107877983701293	3.943357587485625	5.664177666003644	6.459342480082582	7.7950225547014185	6.9421735518496375	6.940026572397376
TNFAIP8L2	0.4814435601889095	1.659239868036744	0.6974244803599642	1.5918980802866627	2.2904922143681854	4.309534654043139	4.65653559821335	4.493089496754819	4.642992953993949	4.612568445843305
TNFRSF12A	4.201362238138767	2.3140255775584246	2.7303342187740616	3.393802914415495	3.5959733923537005	5.576868506473646	5.240160140046191	5.847450679995799	4.943970812728247	4.747091686394846
TNFRSF14	3.4926164428433464	4.709500609931194	4.069475467579179	4.6836387513616184	5.0781504065245	7.2891979429954645	7.0291644994753835	7.531158270719418	7.4399896379063986	6.925955724227407
TNFRSF17	-2.226613824378263	-4.9044052894553545	-1.457024681983079	-1.3562517284529232	-1.2019339618337983	2.6348616405734235	2.2532053214493803	3.132770618857684	3.6253042046516635	0.9164062812308511
TNFRSF19	8.08793575409499	8.327872047335307	7.863259880302862	7.853508040435232	7.423292270516448	4.638996097347117	3.6890291435374403	2.1955061651866017	2.8644444863608864	3.9047606832171637
TNFRSF1B	3.5546484099611066	4.951572502367547	4.339472090048583	4.635782596070606	5.005847021575933	7.618657702116665	8.034485560764919	7.786401463081512	7.9901104454616645	7.745935078952473
TNFRSF4	-6.370271528368757	-3.4753178255532715	-2.4442234070371254	-5.098448542647532	-2.1481247943804087	1.9510922582248378	1.5529430434927893	2.5541383518349394	1.275643133247744	2.702806104642652
TNFRSF6B	-1.6425029834514537	-0.7592019802758597	-4.602371911215886	-0.39884452342308696	-2.1481247943804087	4.507041156380457	4.92278906036023	5.72452776295101	4.818919764384355	4.9083724243531055
TNFRSF9	1.3622888099780999	0.8915934102262306	2.4517736028314228	1.0541913266571965	2.444098518414527	3.999420782667749	4.465055303725743	4.268568617273034	4.264081261821615	4.542510970275687
TNFSF10	6.097255760703498	6.289282342032728	6.2518988539206175	6.593736285034148	5.824240786507055	7.9712462447004135	7.812772587090324	9.125741703260097	8.7843098868888	8.225987642472855
TNFSF13	2.72195804403456	3.2025035404726374	3.224019718796057	3.7885664822470586	2.1444925505218624	6.3378204866710455	6.323363448269174	5.860954652062554	6.630763586855051	6.664367699219886
TNFSF13B	1.634209998247443	2.9871396649656408	2.040918171642804	1.9475097245842556	2.95600738376272	6.933217146496819	7.038130230927612	6.9319735115863725	7.462636888677859	7.27823424927792
TNFSF14	-0.23995851690445755	-0.29085954137490777	-3.4846740224918396	-0.7894880331874862	1.4342897297560704	1.3055247365301805	1.5135256846588045	1.9644834265683364	2.4051044936068404	1.464500192400652
TNFSF8	0.6988252676632325	1.8444931010367507	1.5027185017321758	2.07818109803457	1.9527826241620792	4.756597926131342	4.7417821906855915	4.443888402557533	4.549270498806087	4.346015646523106
TNIK	2.5652517073713215	2.720824750888644	2.6727628611912926	2.697463994761488	3.775698689644881	4.182049821436969	4.921062510867402	5.332876333075607	4.948053803738812	5.223060784298439
TNIP3	-1.449356251790212	-1.1903970838570583	-0.1942923181071059	-0.902673544312092	-2.1481247943804087	1.7458987872677596	2.632088205348272	3.864001820587017	2.945573922574864	3.4723157332487347
TNMD	3.503836306951134	2.9350493398567656	4.075711086229362	3.0751018576904148	3.2286437087405835	-1.2201872328032952	-1.1711175237632212	-1.88933946121601	-4.061968197687872	-3.3704727853915815
TNN	2.8164552749979608	2.708478463744148	3.229515196801857	1.5020947358909986	2.8611380669282087	-1.0470447166858388	-1.7073720920479805	-4.2780676469903085	-3.7897363784792244	-0.4869473915027056
TNNC1	1.363894289066856	0.9493038867015817	0.20496946673144603	0.6393962864414742	2.4451376814847503	-1.148089715229997	-3.2759052248170257	-1.6340243501684995	-1.4772628193183794	-1.0555577205294124
TNNC2	1.091069271942651	0.7396483164350367	0.3702063175466849	1.2494844233593474	2.4183799355107736	-2.01253530378936	-2.0644053990798237	-1.9077175477962334	-2.243568783529313	-2.6813438687417404
TNNT2	3.0973544781959563	2.3163618093794582	2.6707746513921835	2.7784485040020614	3.3108084332173897	0.09933865193171393	-0.15804889880979722	0.7479824205442345	0.7268274034269357	0.574529636025484
TNS4	5.317711880036847	5.477616253815657	5.168120542017008	4.963463650803154	5.668754394897698	3.3266776908411124	2.218236458451166	2.5453560444786874	2.6859127396709046	3.4591806114123496
TNXB	6.405590352814803	8.002278872172372	7.471473048181	8.80270564411594	8.967630251448801	3.688821114430215	3.874773269922356	4.424560654833712	3.891660806919999	3.9947703815765037
TOM1L1	5.552464894298974	5.285277390831566	5.3361061475331235	5.301785761895718	5.316033228420296	4.68255615447683	2.2713915356936285	2.5022203067825366	2.4217331135828966	3.412838243836363
TOR4A	1.8665042976760156	1.9562200711040663	1.6292642008958054	2.267461437012492	2.9098859294425496	4.923313360252268	4.962424460617996	4.764763541585824	4.882471717585907	4.399347723404881
TP53AIP1	4.558444524505114	4.209373754443548	3.805165796607377	4.543812585779772	4.705536510967207	2.6584161970290583	-0.7033581742970554	-0.2672311359874042	1.227145469885407	0.6983444002504253
TP63	8.466060346327753	8.754790631396315	8.3026501806816	8.387154284408835	6.850772559883518	7.2420481565588775	4.5186380092788605	4.567289567627811	4.805948072932695	6.766286992591927
TP73	3.2701870881388913	3.1276956189805927	3.2771918077186095	3.230838016047555	3.4542146163296485	1.6662318710257304	-0.17427105295726014	0.8515227072622188	-0.865280133085384	1.158390486206794
